FieldID,RawFieldName,StandardFieldName,DataType,BusinessMeaning,RequiredStatus,UnitOrFormat,RuleIDs,Layer,PowerBIUsage,Notes
F001,ردیف,RecordID,Text/Integer,شناسه ترتیبی رکورد عملیاتی در منبع,Required for operational record,Source sequence,DQ-001; DQ-002; DQ-006; DQ-107; DQ-108,Raw + Standard,Record traceability,Not the global project key; Standard RecordKey will be generated.
F002,قالب / قطعه / دستگاه,AssetName,Text,نام/شرح دارایی یا موضوع فعالیت؛ در رکوردهای قالب، مقدار این فیلد به‌عنوان MoldName استفاده می‌شود,Required,Free text / asset name,DQ-008,Raw + Standard,Asset/Mold identification,برای قالب‌ها F002 منبع نام قالب است. AssetType یک فیلد استاندارد مستقل/مشتق‌شده از WorkType و قواعد کسب‌وکار خواهد بود.
F003,نوع تعمیر,WorkType,Category/Text,نوع فعالیت/کار مرتبط با رکورد,Conditional,Controlled category,DQ-009; DQ-017; DQ-025; DQ-027,Raw + Standard,Work-type analysis,Used to distinguish new/repair work; final vocabulary to be approved.
F004,اپراتور,Operator,Text,فرد انجام‌دهنده عملیات,Conditional,Name/ID,DQ-010,Raw + Standard,Labor analysis,Future Employee Master.
F005,مشتری,Customer,Text/Category,مشتری یا طرف دریافت‌کننده خدمت,Conditional,Name/Code,DQ-011,Raw + Standard,Customer/project analysis,Important for future outsourcing expansion.
F006,واحد درخواست کننده,RequestingUnit,Text/Category,واحدی که درخواست انجام فعالیت را ایجاد می‌کند,Conditional,Organizational unit,DQ-012; DQ-106,Raw + Standard,Demand analysis,Distinct from F007 SubGroup.
F007,زیرگروه,SubGroup,Text/Category,حوزه/زیرگروه سازمانی یا عملیاتی مرتبط با فعالیت,Conditional,Controlled category,DQ-013; DQ-103; DQ-104,Raw + Standard,Business-area/project segmentation,Not limited to production units; may include service and outsourcing/project domains.
F008,کد قالب,MoldCode,Text,شناسه رسمی قالب,Required in target system; conditional in legacy,Alphanumeric code,DQ-014; DQ-015; DQ-016; DQ-017; DQ-100; DQ-101,Raw + Standard + Master,"Mold traceability, repair history, cost, hours","For new molds, ProductTechnicalNo may temporarily identify the product until official MoldCode is assigned. Future field is independent."
F009,شماره نامه درخواست,RequestLetterNo,Text,شناسه رسمی درخواست/نامه,Conditional,Text/code,DQ-018; DQ-019; DQ-020,Raw + Standard,Request traceability,Keep Text even when value looks numeric.
F010,خرابی,FailureDescriptionRaw,Long Text,شرح خام خرابی/مشکل ثبت‌شده,Conditional,Free text,DQ-021; DQ-022,Raw + Standard,Failure analysis,Future FailureCategory/FailureMode should be separate.
F011,تعداد,Quantity,Numeric,تعداد مجموعه/مورد درخواستی در سطح رکورد,Conditional,Count,DQ-023; DQ-024; DQ-025; DQ-026; DQ-027,Raw + Standard,Quantity KPIs,"For a mold set, Quantity normally remains 1 even when multiple internal components exist."
F012,درخواست کننده,Requester,Text,شخص درخواست‌کننده,Conditional,Name/ID,DQ-028; DQ-029; DQ-030; DQ-106,Raw + Standard,Request analysis,Distinct from RequestingUnit.
F013,کد دستگاه خراب,RelatedMachineCode,Text,کد دستگاه مرتبط با قالب، قطعه یا خود دستگاه در رکورد,Conditional,Machine code,DQ-031; DQ-032; DQ-033; DQ-105,Raw + Standard + Master,Machine/asset relationship,"Includes machines from production, service and other domains; not limited to 'failed machine'."
F014,ایستگاه,Station,Text/Category,ایستگاه کاری مرتبط با فعالیت,Conditional,Station code/name,DQ-034; DQ-035,Raw + Standard + Master,Station load/capacity analysis,Future Station Master.
F015,دستگاه,Machine,Text,نام/شرح دستگاه ثبت‌شده در رکورد,Conditional,Machine name,DQ-036; DQ-037,Raw + Standard + Master,Machine utilization/OEE,Descriptive field; official machine code remains F013.
F016,قطعه,Part,Text,نام/شرح قطعه مرتبط با فعالیت,Conditional,Part name,DQ-038; DQ-039,Raw + Standard + Master,Part analysis,Future Part Master.
F017,Part Code,PartCode,Text,شناسه فنی قطعه,Conditional,Alphanumeric code,DQ-040; DQ-041; DQ-042; DQ-043; DQ-102,Raw + Standard + Master,Part traceability,PartCode may vary by mold/part relationship; future Mold-Part Mapping is authoritative where applicable.
F018,شرح عملیات,OperationDescriptionRaw,Long Text,شرح خام عملیات انجام‌شده,Conditional,Free text,DQ-044; DQ-045,Raw + Standard,Process/operation analysis,Future OperationCode/OperationMaster.
F019,نتیجه فرایند,ProcessResultRaw,Text,نتیجه خام ثبت‌شده برای فرآیند,Conditional,OK/NOK/NC/etc.,DQ-003; DQ-004; DQ-046; DQ-047; DQ-048; DQ-049,Raw + Processed,Process completion KPI,Processed field ProcessStatus is separate; blank semantics require final approval.
F020,تاریخ ارسال به سختکاری,HardeningSentDate,Text/Date,تاریخ ارسال قالب/قطعه به سختکاری,Conditional,Persian date,DQ-050; DQ-051,Raw + Standard,External-process lead time,
F021,مجری سختکاری,HardeningExecutor,Text,شخص/شرکت مجری سختکاری,Conditional,Supplier/executor,DQ-052; DQ-053,Raw + Standard + Master,Supplier/outsource analysis,Future Supplier Master.
F022,هزینه سختکاری تومان,HardeningCost,Numeric,هزینه عملیات سختکاری,Conditional,Toman,DQ-054,Raw + Standard,External process cost,
