RuleID,Category,FieldID,RuleName,RuleDescription,Severity,ValidationType,ApplicableAssetType,ApplicableWorkType,SourceLayer,StandardLayer,Action,Status,Notes
DQ-001,Record,F001,Operational record detection,Use non-empty F001 as the only operational-record detection basis.,GOVERNANCE,,,,Raw,Standard,Detect record,ACTIVE,Do not infer records from other populated columns.
DQ-002,Record,F001,Operational record count,Compare operational record count with the approved 1405 baseline.,ERROR,,,,Raw,Validation,Flag mismatch,ACTIVE,1405 baseline = 3652 records.
DQ-003,Process,F019,Recognized process-result normalization,Normalize recognized Process Result variants to the standard ProcessStatus.,NORMALIZATION,,,,Raw,Standard,Normalize in processed layer,ACTIVE,Raw value remains unchanged.
DQ-004,Process,F019,Unknown process-result,Report values not included in the approved Process Result mapping.,WARNING,,,,Raw,Validation,Flag,ACTIVE,No unknown values were found in validated 1405 operational records.
DQ-005,Structural,Multiple,Outside operational range,Separate populated cells outside operational records from data-quality errors.,STRUCTURAL,,,,Raw,Validation,Report structurally,ACTIVE,Do not treat as record-count evidence.
DQ-006,Duplicate,F001,Duplicate RecordID,Report duplicate RecordID values within a sheet.,WARNING,,,,Raw,Validation,Flag,ACTIVE,Global RecordKey will be introduced for cross-year uniqueness.
DQ-007,Schema,Workbook,Schema/header validation,Validate expected sheets and headers.,ERROR,,,,Raw,Validation,Flag mismatch,ACTIVE,Supports schema-drift monitoring.
DQ-008,DataQuality,F002,AssetType classification,AssetType should be recognizable in the approved classification.,WARNING,Controlled vocabulary,قالب/قطعه/دستگاه,,Raw,Standard,Validate / Flag,ACTIVE,Final controlled list remains subject to master-data approval.
DQ-009,DataQuality,F003,WorkType classification,WorkType should be recognizable in the approved work-type classification.,WARNING,Controlled vocabulary,,,Raw,Standard,Validate / Flag,ACTIVE,Final list remains subject to business approval.
DQ-010,MasterData,F004,Operator master mapping,Operator should be mappable to Employee Master when required.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Future Employee Master.
DQ-011,MasterData,F005,Customer master mapping,Customer should be mappable to Customer Master when required.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Future Customer Master.
DQ-012,MasterData,F006,RequestingUnit master mapping,RequestingUnit should be mappable to the approved organizational-unit master.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Keep distinct from F007 SubGroup.
DQ-013,MasterData,F007,SubGroup classification,SubGroup should be mappable to the approved SubGroup classification.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,SubGroup is broader than production units and may include outsourcing/project domains.
DQ-014,Schema,F008,MoldCode type,MoldCode must be stored as Text.,ERROR,Data type,قالب,,Raw,Standard,Validate,ACTIVE,Preserve leading zeros and code structure.
DQ-015,Normalization,F008,MoldCode letter normalization,Standardize Latin letters in MoldCode in the processed layer.,NORMALIZATION,Case normalization,قالب,,Raw,Standard,Normalize,ACTIVE,Raw MoldCode remains unchanged.
DQ-016,Business,F008,Repair mold code required,Repair-mold records should have a MoldCode.,WARNING,Conditional requirement,قالب,قالب تعمیری,Raw,Standard,Flag missing,ACTIVE,Target system should make this an ERROR after coding process is established; 1405 is legacy.
DQ-017,Business,F008,New mold identification,"For a new mold, a valid MoldCode or ProductTechnicalNo must exist.",WARNING,Conditional requirement,قالب,قالب نو,Raw,Standard,Flag missing,ACTIVE,ProductTechnicalNo is a future independent standard field.
DQ-018,Schema,F009,RequestLetterNo type,RequestLetterNo must always be stored as Text.,ERROR,Data type,,,Raw,Standard,Validate,ACTIVE,Supports numeric and mixed-format request identifiers.
DQ-019,Normalization,F009,RequestLetterNo spacing,Control leading/trailing spaces in RequestLetterNo.,NORMALIZATION,Text normalization,,,Raw,Standard,Normalize,ACTIVE,Raw value remains unchanged.
DQ-020,Traceability,F009,Request traceability,RequestLetterNo should be traceable when the activity requires a formal request.,WARNING,Conditional requirement,,,Raw,Standard,Flag missing,ACTIVE,Business rule depends on activity type.
DQ-021,Governance,F010,Failure raw preservation,FailureDescriptionRaw must not be overwritten.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,Future FailureCategory can be added separately.
DQ-022,DataQuality,F010,Failure completeness,Flag blank or extremely short failure descriptions where a failure description is expected.,WARNING,Completeness,,,Raw,Validation,Flag,ACTIVE,Minimum length threshold to be finalized.
DQ-023,Schema,F011,Quantity numeric,Quantity must be numerically interpretable.,ERROR,Data type,,,Raw,Standard,Validate,ACTIVE,Exact business unit depends on AssetType/WorkType.
DQ-024,DataQuality,F011,Quantity non-negative,Quantity must not be negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Zero/positive acceptance remains conditional by work type.
