RepairCaseID,MoldCode,MoldCodeNorm,MoldName,RequestLetterNo,RepairSequenceNo,CaseStartDate,CaseLastWorkDate,RecordCount,TotalWorkedHours,FailureExamples,DetectionBasis,Confidence
RC-1405-0001,01S,01S,قالب پخت کلاچ پژو 405,522/د/05,1,1405/01/20,1405/01/20,3,5.5,لهیدگی سنبه و ماتریس و میل راهنما,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0002,02s,02S,قالب پخت کلاچ پژو 405,404/د/05,1,1405/01/17,1405/03/24,22,96.75,لهیدگی سنبه و ماتریس ، میل راهنما | ساخت Top Plate Botton plate guide rod Matrix stoper | سوراخکاری 4 عدد سنبه | ساخت 160 عدد پیچ واسطه رینگ قالب های کلاچ(مصرف هر کدام 16 عدد),MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0003,03s,03S,قالب پخت کلاچ پژو 405,407/د/05,1,1405/01/17,1405/04/01,61,267.92,قالب در تاریخ 1404/07/01 تحویل تولید گردید(657)منتها بعلت دور برداشتن ، باعث خرابی کروم گردید | ساخت 160 عدد پیچ واسطه رینگ قالب های کلاچ(مصرف هر کدام 16 عدد),MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0004,04S,04S,قالب پخت کلاچ پیکان,746,1,1405/01/08,1405/03/31,75,294.83,لهیدگی سنبه و ماتریس | ساخت 160 عدد پیچ واسطه رینگ قالب های کلاچ(مصرف هر کدام 16 عدد) | ساخت Top Plate Botton plate guide rod Matrix stoper | ساخت پیچ واسطه قالب | کف تراشی Stop قالب,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0005,05S,05S,قالب پخت کلاچ پیکان,692,1,1405/01/11,1405/04/07,40,199.83,لهیدگی سنبه و ماتریس(غیر قابل اصلاح) | جایگزینی Matrix | ساخت Top Plate Botton plate guide rod Matrix stoper | Stoper | گزارش به اسن تیبا 215 ثبت شده,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0006,06s,06S,قالب پخت کلاچ پیکان,682,1,1405/01/09,1405/04/15,42,188.0,دمونتاژ قالب | ساخت Pin connector | ساخت Top Plate Botton plate guide rod Matrix stoper | سوراخکاری 4 عدد سنبه | ساخت میل راهنما,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0007,07s,07S,قالب پخت کلاچ پیکان,682,1,1405/02/01,1405/04/21,5,30.0,ساخت Top Plate Botton plate guide rod Matrix stoper,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0008,08s,08S,قالب پخت کلاچ پیکان,708,1,1405/01/17,1405/01/18,4,22.0,اصلاح,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0009,1,1,قالب SAF توری,1714,1,1405/04/06,1405/04/31,9,15.0,سنگ زنی قالب | ساخت میل راهنما,MoldCodeNorm + RequestLetterNoNorm,HIGH
RC-1405-0010,1,1,قالب مترو مشهد,1722,2,1405/06/07,1405/06/15,10,30.0,سنگ زدن قالب تعویض صفحات زیر و رو,MoldCodeNorm + RequestLetterNoNorm,HIGH
