RecordKey,SourceSheet,SourceRowNumber,RecordID,MoldCode,MoldCodeNorm,WorkDate,WorkedHours,FailureDescriptionRaw,ExistingCaseID,ExistingRequestLetterNo,ExistingCaseStartDate,ExistingCaseLastWorkDate,DateRelation,ProposedReviewClassification,ProposedNextAction,ReviewBasis
1405-اردیبهشت-207,اردیبهشت,208,207,01S,01S,1405/02/09,2,,RC-1405-0001,522/د/05,1405/01/20,1405/01/20,AFTER_CASE_20D,NEW_OR_REOPENED_CASE_CANDIDATE,Business review required; temporal gap is too large for automatic continuation,RequestLetterNo blank; classification is analytical proposal only
1405-اردیبهشت-596,اردیبهشت,597,596,01S,01S,1405/02/24,4,,RC-1405-0001,522/د/05,1405/01/20,1405/01/20,AFTER_CASE_35D,NEW_OR_REOPENED_CASE_CANDIDATE,Business review required; temporal gap is too large for automatic continuation,RequestLetterNo blank; classification is analytical proposal only
1405-اردیبهشت-280,اردیبهشت,281,280,03S,03S,1405/02/12,11,لهیدگی,RC-1405-0003,407/د/05,1405/01/17,1405/04/01,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-اردیبهشت-283,اردیبهشت,284,283,03S,03S,1405/02/13,11,لهیدگی,RC-1405-0003,407/د/05,1405/01/17,1405/04/01,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-190,تیر,191,190,07S,07S,1405/04/10,5.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-192,تیر,193,192,07S,07S,1405/04/10,7,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-221,تیر,222,221,07S,07S,1405/04/10,1.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-243,تیر,244,243,07S,07S,1405/04/11,1.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-247,تیر,248,247,07S,07S,1405/04/12,1.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-286,تیر,287,286,07S,07S,1405/04/13,2,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
